Name,Style,Brewery,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,ABV,Min IBU,Max IBU,number_of_reviews
Boat Beer,Pale Ale - American,Carton Brewing Company,32,35,14,58,33,86,6,111,106,11,62,4.388889,3.944444,4.222222,4.166667,4.111111,4.2,25.0,50.0,9
Boatswain H.L.V. Ale (Heavy Lift Vessel),Strong Ale - American,Minhas Craft Brewery,6,19,23,39,42,13,0,22,49,7,37,3.666667,3.833333,3.5,4.166667,3.833333,7.0,40.0,100.0,3
Bob's '47 Oktoberfest,Lager - Märzen / Oktoberfest,Boulevard Brewing Co.,6,21,2,16,38,21,0,24,23,5,68,3.642857,3.753456,3.767281,3.804147,3.910138,5.8,18.0,25.0,217
Bobo's Robust Porter,Porter - Robust,Big Sky Brewing Company,13,134,10,85,85,9,0,7,35,15,159,3.771739,4.01087,3.836957,3.891304,3.880435,5.8,25.0,40.0,46
Bock De Joliette,Bock - Traditional,Micro-Brasserie L'Alchimiste,9,31,10,33,65,33,0,36,37,4,74,3.25,3.545455,3.431818,3.340909,3.386364,6.1,20.0,30.0,22
Bock-Bier,Bock - Maibock,Mahrs-Bräu,27,47,12,32,62,39,1,42,49,11,86,3.642857,3.5,3.734694,3.765306,3.785714,6.5,20.0,38.0,49
Boffo Brown Ale,Brown Ale - English,Dark Horse Brewing Company,11,80,18,60,66,4,0,9,56,8,130,3.832,3.776,3.716,3.876,3.848,7.0,15.0,25.0,125
Bog Water,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,15,37,22,36,106,53,0,69,98,51,67,3.775,3.475,3.35,3.675,3.575,6.6,0.0,0.0,20
Bohemia,Lager - European Dark,Sociedade Central de Cervejas,20,44,14,35,105,19,0,25,47,6,98,3.386364,3.727273,3.363636,3.340909,3.477273,6.2,15.0,40.0,22
Bohemia Clásica,Pilsner - German,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",25,17,4,35,23,15,4,15,64,6,53,2.846154,2.923077,2.961538,3.0,2.961538,4.7,25.0,40.0,13
Bohemia Oscura,Lager - Vienna,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",13,39,11,24,50,11,0,17,25,2,107,3.176471,3.588235,3.558824,3.617647,3.735294,5.5,15.0,30.0,17
Bohemia Weizen,Wheat Beer - Kristallweizen,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",17,28,8,12,20,40,2,62,16,10,49,3.375,3.5625,3.3125,3.5,3.6875,5.7,10.0,15.0,8
Bokbier,Bock - Traditional,Jopen Bier BV Haarlem,23,47,10,34,68,30,2,31,16,9,106,3.855556,3.666667,3.733333,3.766667,3.722222,6.5,20.0,30.0,45
Bold Coast Pemaquid Ale,Scottish Ale,Sheepscot Valley Brewing Company,8,47,5,16,52,24,0,13,25,26,80,3.58,3.88,3.66,3.7,3.76,4.05,9.0,25.0,50
Bombshell Blonde,Blonde Ale - American,Southern Star Brewing Company,29,41,10,28,27,26,5,30,41,6,67,3.609827,3.852601,3.858382,3.745665,3.988439,5.25,15.0,25.0,173
Bommen & Granaten,Barleywine - English,Brouwerij De Molen,11,55,39,36,144,45,0,88,30,6,70,3.892857,3.440476,3.714286,3.845238,3.702381,15.2,40.0,60.0,42
Bone Shaker Brown,Brown Ale - English,Moat Mountain Smoke House & Brewing Co.,12,44,2,37,47,4,1,6,43,10,114,3.961538,4.115385,4.115385,4.269231,4.269231,5.5,15.0,25.0,13
Bone Warmer Imperial Amber Ale,Red Ale - Imperial,Grand Teton Brewing Co.,14,55,47,34,104,39,1,52,36,19,108,3.75,3.333333,3.75,3.958333,3.666667,8.2,55.0,85.0,12
Bonecrusher Stout,Stout - English,Schmohz Brewing Company,17,93,3,77,45,12,0,13,45,10,115,3.423077,3.884615,3.153846,3.076923,3.076923,6.4,20.0,40.0,13
Bonfire Of The Valkyries,Lager - Rauchbier,New Albanian Brewing Company - Pizzeria and Public House,12,84,11,45,60,5,2,2,23,96,98,4.071429,3.785714,4.142857,4.214286,3.928571,8.0,20.0,30.0,7
Boon Framboise,Lambic - Fruit,Brouwerij Boon,24,32,7,1,112,94,1,94,12,5,22,3.791667,3.714744,3.730769,3.746795,3.724359,5.5,15.0,21.0,156
Boon Kriek,Lambic - Fruit,Brouwerij Boon,14,34,12,2,52,76,0,95,0,4,20,3.680723,3.936747,3.593373,3.51506,3.683735,5.0,15.0,21.0,166
Boon Lambiek,Lambic - Traditional,Brouwerij Boon,12,6,0,0,3,19,0,4,2,2,4,4.25,4.25,4.0,4.25,4.125,6.0,0.0,10.0,4
Boon Oude Geuze Mariage Parfait,Lambic - Gueuze,Brouwerij Boon,35,31,7,8,80,169,1,103,23,13,18,4.173423,4.092342,4.038288,4.087838,4.101351,8.0,0.0,10.0,222
Boon Oude Kriek Mariage Parfait,Lambic - Fruit,Brouwerij Boon,34,41,11,8,69,109,0,104,8,10,13,4.110294,4.213235,4.102941,4.183824,4.183824,8.0,15.0,21.0,68
Boon Oude Lambic,Lambic - Traditional,Brouwerij Boon,14,17,2,5,20,48,0,25,7,5,5,4.5,4.0,4.0,4.5,4.5,6.5,0.0,10.0,1
Boont Amber Ale,Red Ale - American Amber / Red,Anderson Valley Brewing Company,17,32,10,32,76,19,0,20,36,6,93,3.725983,3.894105,3.834061,3.902838,3.967249,5.8,25.0,45.0,458
Bornem Double,Dubbel,Brouwerij Van Steenberge N.V.,10,44,15,19,100,25,0,56,15,22,72,3.679319,3.996073,3.587696,3.643979,3.658377,8.0,15.0,30.0,382
Bornem Triple,Tripel,Brouwerij Van Steenberge N.V.,24,29,18,19,58,52,0,68,24,23,27,3.609499,3.875989,3.639842,3.568602,3.602902,9.0,20.0,40.0,379
Boréale Noire,Stout - English,Brasseurs Du Nord Inc.,12,76,11,51,49,12,1,7,17,15,93,3.592593,3.777778,3.611111,3.685185,3.888889,5.5,20.0,40.0,27
Boskeun,Strong Ale - Belgian Pale,Brouwerij De Dolle Brouwers,12,48,41,19,80,54,0,64,37,26,41,4.147679,4.094937,4.027426,4.175105,4.046414,10.0,20.0,40.0,237
Boss Beer,Lager - European Strong,BOSS Browar Witnica S.A.,13,26,20,17,61,12,2,6,26,1,85,2.98,3.14,3.42,3.04,3.36,8.1,15.0,40.0,25
Boss Tom's Golden Bock,Bock - Maibock,Boulevard Brewing Co.,39,36,15,42,52,7,1,13,46,10,91,3.418478,3.505435,3.657609,3.592391,3.793478,6.1,20.0,38.0,92
Boston Common,California Common / Steam Beer,Beer Works,2,37,8,28,27,22,0,19,40,4,35,3.458333,3.666667,3.916667,3.625,3.75,5.0,35.0,45.0,12
Bottleworks XII,Wild Ale,The Bruery,52,46,14,9,107,199,0,129,16,16,26,4.04,4.18,4.24,4.36,4.32,8.0,5.0,30.0,50
Bourbon Barrel Aged Plead The 5th,Stout - Russian Imperial,Dark Horse Brewing Company,7,88,49,45,70,11,0,17,19,32,117,4.505682,4.295455,4.443182,4.5,4.482955,12.0,50.0,90.0,88
Bourbon Barrel Aged Shaman's Porter,Porter - Baltic,Atwater Block Brewery,13,80,61,49,62,36,0,26,32,27,143,3.222222,3.888889,3.388889,3.388889,3.222222,6.8,25.0,45.0,9
Bourbon Barrel Aged Siberian Night Imperial Stout,Stout - Russian Imperial,Thirsty Dog Brewing Company,10,147,102,50,97,11,0,40,12,45,190,4.111111,4.25,4.055556,4.152778,4.055556,10.9,50.0,90.0,36
Bourbon Barrel Aged Winter Warmer,Winter Warmer,Rahr & Sons Brewing Company,8,69,92,35,81,24,0,34,32,55,129,4.063492,4.02381,4.007937,4.190476,4.134921,11.0,35.0,50.0,63
Bourbon Barrel Quad Barrel-Aged Ale (BBQ),Quadrupel (Quad),Boulevard Brewing Co.,10,46,94,13,88,28,0,76,11,26,84,4.198847,4.087896,4.041787,4.272334,4.085014,11.2,25.0,50.0,347
Bourbon Barrel-Aged Barley Wine,Barleywine - English,Kuhnhenn Brewing Company,7,47,94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.169492,4.34322,4.152542,14.5,40.0,60.0,118
Bourbon County Brand Coffee Stout,Stout - American Imperial,Goose Island Beer Co.,6,65,28,82,48,3,0,8,9,26,143,4.555921,4.256579,4.473684,4.620614,4.317982,12.9,50.0,80.0,456
Bourbon County Brand Stout,Stout - American Imperial,Goose Island Beer Co.,5,69,69,41,83,9,0,36,8,24,134,4.43538,4.20117,4.386257,4.482164,4.082749,14.7,50.0,80.0,1710
Bourbon County Brand Vanilla Stout,Stout - American Imperial,Goose Island Beer Co.,7,111,68,33,74,3,1,4,16,79,133,4.429739,4.147059,4.343137,4.413399,4.184641,14.9,50.0,80.0,306
Bourbon Fred From The Wood,Strong Ale - American,Hair of the Dog Brewing Company / Brewery and Tasting Room,12,59,91,24,144,29,0,47,9,27,158,4.162791,3.395349,3.383721,4.267442,3.848837,12.0,40.0,100.0,43
Box Of Chocolate,Quadrupel (Quad),Charleville Vineyard Microbrewery,7,166,42,23,219,28,0,61,10,17,137,4.070312,4.015625,3.921875,4.179688,4.085938,10.5,25.0,50.0,64
Boxcarr Pumpkin Porter,Porter - English,Starr Hill Brewery,20,41,8,18,28,7,0,65,13,70,59,3.528571,3.642857,3.157143,3.271429,3.285714,5.2,20.0,30.0,35
Boxer's Revenge,Wild Ale,Jester King Craft Brewery,33,38,49,10,93,177,2,113,23,11,27,4.333333,4.0,4.083333,4.0,4.25,10.2,5.0,30.0,6
Brabantiae,Lambic - Gueuze,Brasserie Cantillon,42,36,5,18,29,169,0,80,11,2,7,4.095238,4.095238,4.214286,4.309524,4.166667,5.0,0.0,10.0,21
Bracia,Strong Ale - English,Thornbridge Brewery,6,82,29,68,91,25,0,36,35,19,159,4.1875,4.1875,4.4375,4.4375,4.0625,10.0,40.0,60.0,8
Braggot,Braggot,Crabtree Brewing Company,2,29,9,29,56,3,0,7,16,5,56,3.6,4.1,3.7,3.85,3.7,7.85,20.0,40.0,10
Braggot,Braggot,Kuhnhenn Brewing Company,12,43,86,22,263,38,1,86,37,43,180,3.852941,3.882353,3.882353,3.882353,3.705882,12.8,20.0,40.0,17
Brakspear Bitter,Bitter - English,W.H. Brakspear & Sons plc,18,52,5,73,34,19,0,17,85,11,74,3.616071,3.758929,3.651786,3.642857,3.866071,3.4,20.0,35.0,56
Brasserie Des Rocs Triple Impériale,Strong Ale - Belgian Dark,Brasserie de l'Abbaye des Rocs s.a.,6,31,29,32,101,37,1,63,36,33,65,4.265957,4.042553,4.170213,4.281155,4.144377,10.0,25.0,50.0,329
Braumeister Pils,Pilsner - German,Victory Brewing Company,47,20,4,48,18,5,5,7,82,11,54,4.0,3.988636,4.102273,4.215909,4.284091,5.5,25.0,40.0,44
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,7,38,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.125,4.4375,4.1875,13.2,25.0,45.0,8
Bravoure,Smoked Beer,Brouwerij De Dochter van de Korenaar,24,48,11,27,61,54,2,50,37,84,60,3.8125,4.0,3.78125,3.71875,3.84375,6.5,20.0,30.0,16
Breakfast Stout,Stout - Oatmeal,Founders Brewing Company,11,96,23,95,62,1,0,3,22,12,165,4.41207,4.364508,4.38789,4.501199,4.354516,8.3,20.0,40.0,2502
Brekle's Brown,Brown Ale - American,Anchor Brewing Company,21,49,7,61,60,29,0,42,64,0,82,3.588889,3.966667,3.694444,3.627778,3.666667,6.0,25.0,45.0,90
Brew Free Or Die IPA,IPA - American,21st Amendment Brewery,11,32,9,40,25,32,0,44,59,0,30,3.801538,3.977692,3.771538,3.767692,3.890769,7.0,50.0,70.0,650
Brewer's Brown Ale,Brown Ale - English,Shipyard Brewing Co.,15,62,10,50,79,20,1,33,45,9,127,3.56087,3.686957,3.530435,3.656522,3.691304,5.4,15.0,25.0,115
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Company,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,14.3,60.0,100.0,302
Brewer's Reserve Bourbon Barrel Stout,Stout - American Imperial,Central Waters Brewing Company,9,87,78,26,50,5,0,8,12,20,112,4.219156,3.956169,3.951299,4.159091,4.016234,10.8,50.0,80.0,308
Brewhouse Brown Ale,Brown Ale - English,Real Ale Brewing Company,20,72,14,50,78,7,0,9,32,7,133,3.477376,3.656109,3.493213,3.644796,3.708145,5.4,15.0,25.0,221
Brewhouse Coffee Stout,Stout - American,Central Waters Brewing Company,14,111,14,121,72,6,0,10,32,13,192,4.312893,4.04717,4.083333,4.290881,4.227987,7.4,35.0,60.0,318
Bridal Veil Rye Pale Ale,Rye Beer,Telluride Brewing Co.,21,32,8,72,26,45,1,53,96,27,103,4.0,4.0,4.5,4.5,4.5,5.5,10.0,80.0,1
Brinkley's Maibock,Bock - Maibock,Free State Brewing Co.,9,37,11,41,46,18,1,17,64,5,87,3.25,3.666667,3.583333,3.666667,3.416667,6.5,20.0,38.0,6
Brooklyner Weisse,Wheat Beer - Hefeweizen,Brooklyn Brewery,22,41,15,10,27,52,0,78,14,40,79,3.82037,3.701852,3.722222,3.818519,4.001852,5.0,10.0,15.0,270
Brordinskiy Classical Kvass (Бородинский Классический Квас),Kvass,Borodino ZAO,2,4,2,2,15,8,0,7,1,1,30,3.75,3.0,3.25,3.75,3.75,1.2,0.0,0.0,2
Brother Benedict's Bock,Bock - Traditional,Granite City Food & Brewery,7,55,7,10,89,10,0,7,15,3,114,3.261905,3.5,3.333333,3.428571,3.559524,5.1,20.0,30.0,42
Brother David's Belgian-style Double Ale,Dubbel,Anderson Valley Brewing Company,11,58,43,33,145,50,1,90,42,40,104,3.658103,3.63834,3.555336,3.579051,3.537549,9.0,15.0,30.0,253
Brother David's Triple Abbey Style Ale,Tripel,Anderson Valley Brewing Company,15,38,30,22,96,55,0,84,39,37,53,3.509434,3.407233,3.43239,3.418239,3.34434,10.0,20.0,40.0,318
Brother Joseph's Belgian Dubbel,Dubbel,Straight To Ale,10,29,14,17,96,25,0,63,24,21,66,3.75,4.25,3.5,3.5,3.5,8.0,15.0,30.0,2
Brother Thelonious,Strong Ale - Belgian Dark,North Coast Brewing Co.,4,29,29,13,69,22,1,49,8,24,48,3.833123,3.826169,3.731353,3.824273,3.735777,9.4,25.0,50.0,791
Brown Ale,Brown Ale - American,Brooklyn Brewery,15,70,4,43,60,6,0,2,33,1,109,3.623991,3.817762,3.574394,3.705882,3.817186,5.6,25.0,45.0,867
Brown Ale,Brown Ale - American,The Duck-Rabbit Craft Brewery,15,71,11,93,47,12,1,13,97,10,99,3.744027,3.988055,3.638225,3.723549,3.762799,5.6,25.0,45.0,293
Brown Ale,Brown Ale - English,Legend Brewing Co.,19,34,6,34,42,9,0,5,30,0,84,3.734694,3.882653,3.811224,3.897959,3.994898,6.0,15.0,25.0,98
Brown Ale,Brown Ale - English,Saint Arnold Brewing Company,11,69,8,36,72,12,0,8,37,6,117,3.483333,3.45,3.491667,3.566667,3.666667,5.3,15.0,25.0,120
Brown Ale,Brown Ale - English,Upslope Brewing Company,17,83,13,64,90,9,0,6,54,11,154,3.714286,3.857143,3.857143,3.904762,3.857143,6.7,15.0,25.0,21
Brown Shugga',Strong Ale - American,Lagunitas Brewing Company,3,39,38,50,147,24,0,47,59,5,78,3.921906,3.970039,3.932711,4.001965,3.86444,10.0,40.0,100.0,1018
Bruegel Amber Ale,Pale Ale - Belgian,Brouwerij Van Steenberge N.V.,15,33,11,31,93,48,1,52,37,13,71,3.455556,3.755556,3.457143,3.45873,3.557143,5.2,20.0,30.0,315
Brugse Zot,Pale Ale - Belgian,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,25,30,10,22,41,47,1,55,28,19,40,3.563492,3.738095,3.619048,3.59127,3.77381,6.0,20.0,30.0,126
Brugse Zot Dubbel,Dubbel,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,14,39,15,28,108,42,0,58,33,21,79,3.703704,4.0,3.87037,3.759259,3.851852,7.5,15.0,30.0,27
Brune,Dubbel,Brasserie de l'Abbaye du Val-Dieu,9,48,28,26,109,38,0,47,20,16,80,3.905063,4.167722,3.971519,4.03481,4.03481,8.0,15.0,30.0,158
Brunehaut Blonde,Blonde Ale - Belgian,Brasserie De Brunehaut,23,47,15,24,62,47,5,56,54,24,62,3.388889,3.388889,3.444444,3.388889,3.555556,6.5,15.0,30.0,9
Brunette Nut Brown Ale,Brown Ale - English,Nebraska Brewing Company,13,55,2,25,64,13,1,21,28,2,117,3.125,3.5,3.0,3.0,3.25,4.8,15.0,25.0,4
Bruocsella (1900) Grand Cru,Lambic - Traditional,Brasserie Cantillon,29,23,6,13,40,122,0,58,16,6,11,4.047325,3.744856,3.658436,3.936214,3.886831,5.0,0.0,10.0,243
Brutal,IPA - English,Rogue Ales,10,21,7,73,39,36,0,46,86,1,55,3.962945,4.017806,3.978826,4.090472,4.095765,6.2,35.0,60.0,1039
Bucking Bock,Bock - Maibock,Rahr & Sons Brewing Company,20,24,21,49,37,30,0,29,58,12,65,3.333333,3.396825,3.420635,3.47619,3.587302,7.5,20.0,38.0,63
Buckler Non-Alcoholic Brew,Low Alcohol Beer,Heineken Nederland B.V.,18,21,15,31,24,6,3,6,47,7,56,3.0,2.5,3.0,2.5,3.0,0.5,10.0,20.0,1
Bud Ice,Lager - Adjunct,Anheuser-Busch,4,18,14,7,9,5,0,0,7,3,26,1.959144,2.324903,2.128405,2.048638,2.383268,5.5,8.0,18.0,257
Bud Light,Lager - Light,Anheuser-Busch,13,15,5,11,20,4,3,6,12,3,40,1.747312,2.011521,1.948541,1.828725,2.422043,4.2,8.0,12.0,1302
Bud Light Lime,Lager - Light,Anheuser-Busch,18,14,15,18,15,72,6,70,28,6,44,2.294118,2.401961,2.319172,2.337691,2.704793,4.2,8.0,12.0,459
Bud Light Platinum,Lager - Light,Anheuser-Busch,15,28,20,6,28,11,1,13,9,6,37,2.666667,2.5,2.666667,2.5,2.333333,6.0,8.0,12.0,3
Budweiser,Lager - Adjunct,Anheuser-Busch,6,17,4,15,16,10,0,6,15,3,50,2.189644,2.516476,2.4731,2.420309,2.883995,5.0,8.0,18.0,1487
Budweiser Select,Lager - Light,Anheuser-Busch,19,18,9,18,23,3,2,3,36,3,59,1.992045,2.410227,2.184091,2.115909,2.569318,4.3,8.0,12.0,440
Budweiser Select 55,Lager - Light,Anheuser-Busch,17,27,15,18,12,8,3,6,36,2,49,1.759434,2.240566,1.867925,1.778302,2.226415,2.4,8.0,12.0,106
Buffalo Bill's Blueberry Oatmeal Stout,Stout - Oatmeal,Buffalo Bill's Brewery,8,67,19,59,122,17,2,87,52,6,128,3.561111,3.602778,3.377778,3.308333,3.322222,7.5,20.0,40.0,180
Buffalo Bill's Pumpkin Ale,Pumpkin Beer,Buffalo Bill's Brewery,4,41,5,12,16,7,0,84,14,85,35,3.210227,3.000812,2.74513,2.819805,2.853896,6.0,5.0,70.0,616
Bulls Bay Oyster Stout,Stout - Foreign / Export,COAST Brewing Company,10,79,8,35,45,3,18,4,16,8,90,4.111111,4.222222,4.388889,4.333333,4.444444,5.8,30.0,70.0,9
Bully! Porter,Porter - English,Boulevard Brewing Co.,10,79,14,47,52,14,1,13,36,14,99,3.804393,4.125523,3.791841,3.991632,4.001046,6.0,20.0,30.0,478
Bumble Berry Honey Blueberry Ale,Fruit and Field Beer,Fat Heads Brewery & Saloon,22,19,7,12,143,22,6,81,19,6,77,3.875,3.75,3.583333,3.75,3.875,5.3,5.0,45.0,12
Burning Skye Scottish Style Ale,Scottish Ale,Empyrean Brewing Company,18,41,26,26,68,17,2,19,21,34,105,3.295455,3.431818,3.333333,3.462121,3.575758,5.3,9.0,25.0,66
Burton Baton,IPA - Imperial,Dogfish Head Brewery,7,49,19,40,55,39,1,54,57,22,53,4.109135,4.147838,4.123431,4.229079,4.020572,10.0,65.0,100.0,1434
Busch Beer,Lager - Adjunct,Anheuser-Busch,14,29,5,13,19,2,4,3,17,2,46,1.90107,2.131016,2.125668,2.090909,2.475936,4.3,8.0,18.0,374
Busch Light,Lager - Light,Anheuser-Busch,7,27,3,10,8,3,0,4,12,1,26,1.747191,1.936798,2.018258,1.86236,2.446629,4.1,8.0,12.0,356
Busch NA,Low Alcohol Beer,Anheuser-Busch,5,30,20,9,5,4,1,1,13,0,40,2.25,2.705882,2.441176,2.426471,2.455882,0.5,10.0,20.0,34
Busted Knuckle Ale,Porter - English,Big Woods Brewing Co.,2,73,11,45,63,15,0,19,29,16,89,3.5,4.0,3.875,4.0,3.875,7.2,20.0,30.0,4
Buster Nut Brown Ale,Brown Ale - English,Ska Brewing Co.,10,62,11,41,74,9,0,12,39,2,142,3.486957,3.678261,3.291304,3.404348,3.543478,5.15,15.0,25.0,115
Buttenheimer Keller Bier,Lager - Kellerbier / Zwickelbier,St. Georgenbräu,22,47,9,44,49,29,0,25,79,15,115,3.742138,3.808176,3.827044,3.90566,3.993711,4.9,20.0,40.0,159
Butthead Doppelbock,Bock - Doppelbock,Tommyknocker Brewery,12,69,47,26,115,51,2,52,30,5,119,3.592896,3.612022,3.598361,3.657104,3.580601,8.2,17.0,27.0,366
CBS (Canadian Breakfast Stout),Stout - American Imperial,Founders Brewing Company,3,116,57,47,112,4,1,8,18,21,150,4.558085,4.457614,4.579278,4.697017,4.591052,11.3,50.0,80.0,637
CEO Stout,Stout - American,Right Brain Brewery,6,78,5,75,44,6,0,3,7,7,128,4.2,4.1,3.5,3.9,4.05,5.5,35.0,60.0,10
Cabin Fever,Bock - Maibock,New Glarus Brewing Company,23,26,11,24,88,7,2,13,46,2,117,3.239669,3.719008,3.516529,3.371901,3.710744,6.0,20.0,38.0,121
Cabin Fever Ale,Winter Warmer,Berkshire Brewing Company Inc.,14,44,25,40,75,34,1,38,53,34,89,3.658451,3.93662,3.799296,3.84507,3.901408,6.3,35.0,50.0,142
Cable Car,Wild Ale,The Lost Abbey,20,27,3,6,46,132,0,85,5,10,11,4.416185,4.16474,4.361272,4.526012,4.453757,7.0,5.0,30.0,173
Caesar Augustus (Lager/IPA Hybrid),Lager - India Pale Lager (IPL),Williams Brothers Brewing Company,39,12,2,55,16,22,1,26,74,3,21,3.375,3.25,3.375,3.25,3.0,4.1,30.0,70.0,4
Caffrey's Irish Ale,Red Ale - Irish,Thomas Caffrey Brewing Co.,8,87,6,16,46,18,1,17,25,2,79,3.131868,3.796703,3.395604,3.181319,3.368132,3.8,20.0,30.0,91
Cain's Finest Bitter,Bitter - English,Robert Cain & Company Limited,15,59,7,68,60,17,1,22,91,3,104,3.35,3.666667,3.566667,3.483333,3.533333,4.0,20.0,35.0,30
Cains Dark Mild,Mild Ale - English Dark,Robert Cain & Company Limited,15,112,10,49,84,11,0,21,46,9,142,3.566667,3.95,3.433333,3.6,3.733333,3.2,20.0,30.0,30
Calabaza Blanca,Wheat Beer - Witbier,Jolly Pumpkin Artisan Ales,23,18,2,20,14,117,3,69,25,28,19,3.893701,3.996063,3.811024,3.87664,3.989501,4.8,10.0,20.0,381
Caledonian 80/-,Scottish Ale,The Caledonian Brewing Company,9,45,15,41,70,19,0,18,44,21,112,3.606061,3.80303,3.691919,3.732323,3.863636,4.1,9.0,25.0,99
Calumet Queen,Kölsch,Three Floyds Brewing Co. & Brewpub,34,40,10,34,29,35,3,36,64,6,61,3.65,3.725,3.675,3.7,3.95,5.0,18.0,25.0,20
Camerons Strongarm,Bitter - English,Castle Eden & Camerons Brewing Company Ltd,16,49,13,60,62,22,0,16,66,12,89,3.644068,3.898305,3.644068,3.661017,3.889831,4.0,20.0,35.0,59
Camo Black Extra,Lager - Malt Liquor,Camo Brewing Company,3,15,33,12,48,14,0,27,10,4,30,1.9,3.2,1.9,1.8,1.8,12.2,10.0,30.0,5
Camo Black Ice,Lager - Malt Liquor,Camo Brewing Company,8,21,52,12,50,25,0,33,10,8,31,2.014706,2.838235,2.191176,1.764706,1.867647,10.5,10.0,30.0,34
Camo High Gravity Lager,Lager - Malt Liquor,Camo Brewing Company,7,29,52,17,31,17,0,13,16,1,38,1.727273,2.431818,2.193182,1.772727,2.0,8.5,10.0,30.0,44
Camo Silver Ice,Lager - Malt Liquor,Camo Brewing Company,12,19,44,14,32,18,5,14,34,6,62,1.794872,2.576923,2.115385,1.846154,2.115385,10.6,10.0,30.0,39
Campfire Smoked Porter,Porter - Smoked,Throwback Brewery,12,90,4,62,49,7,1,2,28,110,106,3.8,3.95,3.8,3.8,3.9,6.4,20.0,40.0,10
Cane And Ebel,Rye Beer,Two Brothers Brewing Company,16,39,17,48,59,22,0,28,59,24,101,4.025986,4.086918,4.014337,4.169355,4.089606,7.0,10.0,80.0,558
Canebrake,Wheat Beer - American Pale,Parish Brewing Company,21,29,9,19,94,25,1,28,25,8,95,3.5,3.875,3.25,3.25,4.0,5.5,10.0,35.0,4
Canyon Cream Ale,Cream Ale,Crow Peak Brewing,15,65,4,17,56,16,2,13,23,1,71,3.166667,3.666667,3.666667,3.333333,3.666667,5.0,10.0,22.0,3
Cappuccino Stout,Stout - American Imperial,Lagunitas Brewing Company,6,83,22,87,42,7,1,6,30,2,116,3.801099,3.843956,3.778022,3.891758,3.852198,9.2,50.0,80.0,910
Captain Sig's Northwestern Ale,Red Ale - American Amber / Red,Rogue Ales,6,55,15,82,51,26,0,30,107,9,112,3.759939,4.027523,3.808869,3.799694,3.844037,6.2,25.0,45.0,327
Captain Stout,Stout - American,Alpine Beer Company,20,79,6,62,59,9,0,9,31,9,114,3.784314,3.926471,3.671569,3.833333,3.877451,6.0,35.0,60.0,102
Captain Swain's Extra Stout,Stout - Foreign / Export,Cisco Brewers Inc.,22,106,22,125,71,15,0,21,100,22,124,3.916058,4.113139,3.810219,3.919708,3.839416,8.0,30.0,70.0,137
Carib Lager,Lager - Adjunct,Carib Brewery Limited,16,18,3,14,23,9,0,14,18,5,28,2.513072,2.882353,2.803922,2.810458,3.107843,5.0,8.0,18.0,153
Carlsberg Beer,Lager - European Pale,Carlsberg Danmark A/S,16,27,4,21,31,13,0,16,32,4,55,2.775109,3.152838,3.054585,2.99345,3.262009,5.0,18.0,25.0,458
"Carnegie Porter 5,5%",Porter - Baltic,Carlsberg Sverige AB,9,95,14,52,110,29,0,40,29,12,126,4.018152,4.023102,4.079208,4.186469,4.19802,5.5,25.0,45.0,303
Carnevale,Farmhouse Ale - Saison,The Lost Abbey,31,39,13,37,55,90,2,80,53,42,50,3.984848,3.963203,3.876623,3.978355,4.0671,8.2,20.0,38.0,231
Carolina Blonde,Cream Ale,Foothills Brewing Company,30,50,6,32,15,17,0,13,41,2,50,3.5,4.0,3.5,3.5,3.5,4.3,10.0,22.0,2
Carta Blanca,Lager - Adjunct,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",33,26,4,12,28,10,4,12,23,4,39,2.568452,2.815476,2.791667,2.75,3.026786,4.5,8.0,18.0,168
Casablanca Beer,Lager - European Pale,Brasseries Du Maroc,15,22,4,21,33,10,2,11,38,1,51,2.7,2.993333,2.84,2.76,2.986667,5.0,18.0,25.0,75
CascaZilla,Red Ale - American Amber / Red,Ithaca Beer Company,20,46,11,89,59,31,0,43,111,4,84,3.853545,3.958955,3.850746,3.916978,3.945896,7.0,25.0,45.0,536
Cascade Blonde,Wheat Beer - Kristallweizen,Cascade Brewery Company Ltd.,5,11,2,18,15,19,0,19,20,4,38,3.192308,3.423077,3.423077,3.384615,3.653846,4.8,10.0,15.0,13
Cascade Kriek Ale,Sour - Flanders Red Ale,Cascade Brewing / Raccoon Lodge & Brewpub,56,32,13,10,52,158,0,107,9,22,29,4.149457,3.945652,4.070652,4.214674,4.17663,8.2,10.0,25.0,184
